Bike Type,Store,Order Date,Quantity,Value per Bike,Shipping Date,Model
Mountain,York,2020-11-17,5,1428,2020-11-28,GIA21312/004
Gravel,London,2020-05-29,2,2895,2020-06-03,GIA94221/132
Road,Birmingham,2020-11-14,4,2155,2020-11-24,GIA12442/123
Mountain,York,2020-07-23,1,3426,2020-07-24,GIA12492/126
Gravel,London,2020-10-19,2,1202,2020-10-29,GIA14293/006
Road,Birmingham,2020-11-22,2,3799,2020-11-23,GIA31292/007
Mountain,Leeds,2020-10-13,1,2268,2020-10-16,GIA31292/006
Mountain,Leeds,2020-01-28,1,3334,2020-02-16,GIA21312/004
Gravel,York,2020-12-26,5,3608,2021-01-11,GIA94221/132
Gravel,Birmingham,2020-05-18,2,2813,2020-05-28,GIA12442/123
Road,London,2020-07-06,2,1887,2020-07-22,GIA12492/126
Mountain,York,2020-06-27,2,3800,2020-07-14,GIA14293/006
Road,Leeds,2020-02-14,3,3963,2020-02-25,GIA31292/007
Road,Birmingham,2020-05-24,1,1848,2020-06-13,GIA21312/005
Mountain,London,2020-06-14,4,3109,2020-07-01,GIA94221/133
Gravel,York,2020-08-07,3,3728,2020-08-22,GIA12442/124
Road,Birmingham,2020-10-24,1,2882,2020-11-08,GIA12492/127
Road,Leeds,2020-08-14,3,1404,2020-08-19,GIA14293/007
Gravel,Manchester,2020-11-28,3,3113,2020-12-01,GIA31292/008
Mountain,Manchester,2020-09-06,2,2739,2020-09-17,GIA31292/007
Mountain,Birmingham,2020-02-10,5,1591,2020-02-15,GIA21312/005
Mountain,York,2020-10-15,2,1788,2020-11-04,GIA94221/133
Gravel,York,2020-05-01,5,2032,2020-05-17,GIA12442/124
Road,Birmingham,2020-09-16,4,3287,2020-09-19,GIA12492/127
Road,London,2020-01-12,1,3549,2020-01-18,GIA14293/007
Road,Manchester,2020-04-23,4,1318,2020-04-27,GIA31292/008
Road,Manchester,2020-06-21,4,1360,2020-07-07,GIA21312/006
Road,York,2020-10-07,2,2651,2020-10-26,GIA94221/134
Gravel,London,2020-10-23,1,3627,2020-10-28,GIA12442/125
Mountain,Manchester,2020-10-16,2,1696,2020-10-30,GIA12492/128
Road,Manchester,2020-10-01,2,2225,2020-10-15,GIA14293/008
Gravel,Manchester,2020-09-18,2,1009,2020-09-23,GIA31292/009
Gravel,London,2020-11-09,5,3495,2020-11-18,GIA31292/008
Road,York,2020-04-17,1,1506,2020-04-28,GIA21312/006
Mountain,Leeds,2020-09-11,2,1818,2020-09-19,GIA94221/134
Road,Leeds,2020-02-28,2,2557,2020-03-11,GIA12442/125
Mountain,Leeds,2020-03-17,3,3188,2020-03-26,GIA12492/128
Road,York,2020-09-10,1,3824,2020-09-16,GIA14293/008
Road,Birmingham,2020-09-14,3,1068,2020-10-04,GIA31292/009
Road,Leeds,2020-12-20,4,2500,2021-01-08,GIA21312/007
Gravel,York,2020-08-13,1,1428,2020-08-28,GIA94221/135
Mountain,Leeds,2020-03-19,3,1100,2020-03-23,GIA12442/126
Gravel,York,2020-01-13,1,1462,2020-01-24,GIA12492/129
Gravel,Manchester,2020-05-23,1,1023,2020-06-10,GIA14293/009
Mountain,Birmingham,2020-09-10,2,3324,2020-09-30,GIA31292/010
Road,London,2020-10-15,1,3193,2020-10-23,GIA31292/009
Mountain,Birmingham,2020-04-01,3,3842,2020-04-09,GIA21312/007
Gravel,York,2020-03-10,4,911,2020-03-11,GIA94221/135
Mountain,London,2020-07-20,2,2511,2020-08-09,GIA12442/126
Road,Leeds,2020-12-19,2,1107,2020-12-21,GIA12492/129
Road,Manchester,2020-06-20,2,1415,2020-06-27,GIA14293/009
Mountain,York,2020-05-17,2,3093,2020-05-29,GIA31292/010
Road,London,2020-11-04,3,869,2020-11-11,GIA21312/008
Mountain,London,2020-02-15,4,2320,2020-02-19,GIA94221/136
Mountain,Birmingham,2020-10-27,3,3674,2020-11-12,GIA12442/127
Road,York,2020-01-05,5,3197,2020-01-18,GIA12492/130
Gravel,Leeds,2020-03-09,3,1253,2020-03-13,GIA14293/010
Mountain,York,2020-03-15,1,1388,2020-03-24,GIA31292/011
Mountain,Leeds,2020-04-24,2,2855,2020-04-30,GIA31292/010
Gravel,York,2020-07-04,2,940,2020-07-11,GIA21312/008
Road,Manchester,2020-04-09,4,947,2020-04-12,GIA94221/136
Mountain,Birmingham,2020-04-20,4,3838,2020-04-29,GIA12442/127
Gravel,London,2020-11-21,4,1135,2020-12-10,GIA12492/130
Road,Manchester,2020-09-21,1,1831,2020-09-29,GIA14293/010
Road,London,2020-12-17,5,3067,2020-12-28,GIA31292/011
Gravel,Leeds,2020-06-02,3,2074,2020-06-04,220SPEC12402
Gravel,Leeds,2020-08-02,4,3035,2020-08-16,012SPEC24021
Mountain,London,2020-05-15,5,3994,2020-06-02,043SPEC12400
Road,York,2020-08-21,2,792,2020-09-10,032SPEC29124
Mountain,Birmingham,2020-06-07,2,2821,2020-06-12,021SPEC01442
Mountain,Manchester,2020-08-03,3,3347,2020-08-16,102SPEC84223
Mountain,Manchester,2020-10-08,2,1246,2020-10-26,012SPEC93581
Mountain,London,2020-06-12,4,1829,2020-06-18,943SPEC24912
Mountain,York,2020-03-24,3,2580,2020-04-12,429SPEC21312
Road,Manchester,2020-05-18,3,1641,2020-05-26,942SPEC34342
Mountain,York,2020-11-27,5,3439,2020-12-05,120SPEC13492
Road,Leeds,2020-08-10,1,3835,2020-08-11,220SPEC12403
Gravel,Leeds,2020-12-10,5,2932,2020-12-16,012SPEC24022
Gravel,Leeds,2020-03-09,1,3374,2020-03-18,043SPEC12401
Gravel,York,2020-10-12,1,3681,2020-10-14,032SPEC29125
Road,Birmingham,2020-01-07,4,1345,2020-01-08,021SPEC01443
Gravel,London,2020-12-07,2,2560,2020-12-20,102SPEC84224
Road,Leeds,2020-12-09,5,3352,2020-12-26,012SPEC93582
Mountain,York,2020-08-13,5,1014,2020-08-14,943SPEC24913
Mountain,London,2020-07-09,2,3923,2020-07-21,429SPEC21313
Mountain,Manchester,2020-12-10,5,2723,2020-12-21,942SPEC34343
Gravel,London,2020-04-29,3,953,2020-05-11,120SPEC13493
Road,York,2020-05-13,4,2869,2020-05-29,220SPEC12404
Mountain,London,2020-11-11,5,2176,2020-11-23,012SPEC24023
Mountain,Leeds,2020-08-05,5,3205,2020-08-11,043SPEC12402
Mountain,London,2020-09-18,1,2765,2020-10-02,032SPEC29126
Gravel,York,2020-12-16,4,3488,2020-12-19,021SPEC01444
Gravel,York,2020-08-12,2,1591,2020-08-16,102SPEC84225
Gravel,Birmingham,2020-10-04,2,935,2020-10-10,012SPEC93583
Gravel,York,2020-01-05,3,2424,2020-01-08,943SPEC24914
Gravel,Leeds,2020-11-17,4,3148,2020-11-27,429SPEC21314
Gravel,York,2020-10-17,1,1413,2020-11-04,942SPEC34344
Mountain,Birmingham,2020-10-07,4,1749,2020-10-15,120SPEC13494
Mountain,Leeds,2020-02-08,5,3665,2020-02-28,220SPEC12405
Gravel,York,2020-03-09,5,1824,2020-03-16,012SPEC24024
Mountain,Birmingham,2020-06-25,5,1465,2020-07-11,043SPEC12403
Road,London,2020-03-28,4,1991,2020-04-12,032SPEC29127
Road,Leeds,2020-04-28,2,1982,2020-05-01,021SPEC01445
Mountain,Manchester,2020-01-19,4,1791,2020-01-27,102SPEC84226
Mountain,Leeds,2020-08-02,4,3089,2020-08-20,012SPEC93584
Road,York,2020-09-10,1,3785,2020-09-14,943SPEC24915
Gravel,London,2020-12-02,3,1040,2020-12-10,429SPEC21315
Gravel,London,2020-06-30,4,2001,2020-07-02,942SPEC34345
Mountain,London,2020-07-01,3,1557,2020-07-05,120SPEC13495
Gravel,London,2020-08-24,1,795,2020-08-30,220SPEC12406
Mountain,York,2020-03-20,3,1204,2020-04-07,012SPEC24025
Gravel,London,2020-03-21,1,800,2020-04-10,043SPEC12404
Gravel,Birmingham,2020-01-24,4,1291,2020-02-06,032SPEC29128
Gravel,York,2020-09-30,3,1147,2020-10-08,021SPEC01446
Road,Leeds,2020-09-13,1,3465,2020-09-27,102SPEC84227
Gravel,Leeds,2020-08-27,5,3352,2020-09-05,012SPEC93585
Mountain,Leeds,2020-11-30,4,3575,2020-12-18,943SPEC24916
Road,London,2020-02-15,5,3825,2020-02-28,429SPEC21316
Road,York,2020-05-28,1,3955,2020-06-06,942SPEC34346
Road,Leeds,2020-07-12,5,1778,2020-07-21,120SPEC13496
Road,London,2020-04-12,2,2172,2020-04-27,220SPEC12407
Gravel,Birmingham,2020-02-11,5,3839,2020-02-14,012SPEC24026
Gravel,Birmingham,2020-11-27,4,777,2020-12-03,043SPEC12405
Road,Manchester,2020-12-30,4,2032,2021-01-11,032SPEC29129
Road,Leeds,2020-07-02,5,1698,2020-07-20,021SPEC01447
Mountain,Birmingham,2020-04-05,2,1558,2020-04-18,102SPEC84228
Mountain,London,2020-04-10,4,3368,2020-04-19,012SPEC93586
Mountain,Leeds,2020-06-20,3,2881,2020-06-22,943SPEC24917
Mountain,London,2020-02-05,2,1007,2020-02-11,429SPEC21317
Gravel,York,2020-06-05,3,860,2020-06-15,942SPEC34347
Gravel,York,2020-10-12,1,1583,2020-10-15,120SPEC13497
Gravel,Birmingham,2020-12-26,5,1072,2021-01-07,220SPEC12408
Mountain,Birmingham,2020-03-23,3,3479,2020-04-06,012SPEC24027
Road,Leeds,2020-12-03,3,3167,2020-12-18,043SPEC12406
Road,London,2020-07-21,4,2072,2020-07-31,032SPEC29130
Road,York,2020-10-30,1,3268,2020-11-01,021SPEC01448
Road,York,2020-05-16,1,3880,2020-06-03,102SPEC84229
Mountain,York,2020-02-03,2,3376,2020-02-12,012SPEC93587
Gravel,Leeds,2020-03-03,3,2032,2020-03-07,943SPEC24918
Mountain,Leeds,2020-09-24,1,2219,2020-10-11,429SPEC21318
Gravel,Leeds,2020-10-08,2,3260,2020-10-16,942SPEC34348
Gravel,Birmingham,2020-09-22,1,1357,2020-10-01,120SPEC13498
Road,Leeds,2020-05-23,3,1454,2020-05-28,220SPEC12409
Gravel,Birmingham,2020-02-26,3,1771,2020-03-03,012SPEC24028
Mountain,London,2020-04-13,2,1056,2020-04-22,043SPEC12407
Road,Leeds,2020-03-02,2,3500,2020-03-15,032SPEC29131
Gravel,Manchester,2020-10-11,3,3420,2020-10-26,021SPEC01449
Gravel,Birmingham,2020-11-30,5,1532,2020-12-06,102SPEC84230
Gravel,Leeds,2020-07-08,5,1457,2020-07-24,012SPEC93588
Mountain,Birmingham,2020-11-20,4,1322,2020-12-05,943SPEC24919
Gravel,Manchester,2020-06-27,2,1182,2020-07-10,429SPEC21319
Gravel,Manchester,2020-12-23,5,1396,2020-12-27,942SPEC34349
Mountain,Birmingham,2020-10-30,3,2507,2020-11-12,120SPEC13499
Road,London,2020-11-11,3,1266,2020-11-22,220SPEC12410
Road,Manchester,2020-06-27,4,3663,2020-07-05,012SPEC24029
Road,York,2020-12-27,5,1442,2020-12-28,043SPEC12408
Road,Birmingham,2020-06-03,1,2982,2020-06-16,032SPEC29132
Road,Manchester,2020-08-14,4,1374,2020-08-18,021SPEC01450
Road,York,2020-07-09,3,2096,2020-07-10,102SPEC84231
Mountain,London,2020-11-07,5,967,2020-11-15,012SPEC93589
Gravel,Birmingham,2020-09-07,5,2481,2020-09-19,943SPEC24920
Gravel,Leeds,2020-07-08,1,3045,2020-07-17,429SPEC21320
Road,London,2020-11-16,1,1992,2020-12-06,942SPEC34350
Gravel,Leeds,2020-09-09,1,1607,2020-09-19,120SPEC13500
Road,Manchester,2020-02-17,3,1695,2020-03-01,220SPEC12411
Mountain,Manchester,2020-05-07,4,2130,2020-05-22,012SPEC24030
Mountain,London,2020-03-01,3,1925,2020-03-20,043SPEC12409
Mountain,Leeds,2020-09-26,3,1835,2020-10-07,032SPEC29133
Road,London,2020-09-14,4,2764,2020-09-29,021SPEC01451
Road,Birmingham,2020-01-19,2,2468,2020-02-01,102SPEC84232
Road,Birmingham,2020-05-30,1,3848,2020-06-10,012SPEC93590
Road,Leeds,2020-01-29,4,2976,2020-01-31,943SPEC24921
Gravel,Leeds,2020-03-23,5,1953,2020-03-25,429SPEC21321
Gravel,York,2020-02-08,2,1359,2020-02-23,942SPEC34351
Road,Birmingham,2020-02-23,5,3577,2020-03-08,120SPEC13501
Road,London,2020-06-05,3,1159,2020-06-07,220SPEC12412
Mountain,Birmingham,2020-05-05,1,2250,2020-05-14,012SPEC24031
Gravel,Leeds,2020-07-07,1,1926,2020-07-27,043SPEC12410
Gravel,Birmingham,2020-09-13,3,2771,2020-09-17,032SPEC29134
Mountain,York,2020-06-27,4,3683,2020-07-14,021SPEC01452
Mountain,Leeds,2020-06-20,4,1503,2020-07-09,102SPEC84233
Road,London,2020-07-04,1,3370,2020-07-10,012SPEC93591
Road,London,2020-10-05,5,2265,2020-10-19,943SPEC24922
Road,Birmingham,2020-08-07,3,3132,2020-08-25,429SPEC21322
Mountain,Manchester,2020-12-10,3,3731,2020-12-16,942SPEC34352
Gravel,Manchester,2020-12-07,4,2873,2020-12-15,120SPEC13502
Road,Birmingham,2020-08-28,3,763,2020-09-14,220SPEC12413
Gravel,Birmingham,2020-03-24,3,2662,2020-03-29,012SPEC24032
Road,Manchester,2020-07-26,2,3820,2020-07-28,043SPEC12411
Gravel,Birmingham,2020-11-04,3,3193,2020-11-09,032SPEC29135
Gravel,Birmingham,2020-11-04,3,1210,2020-11-12,021SPEC01453
Gravel,Birmingham,2020-09-08,3,2942,2020-09-10,102SPEC84234
Gravel,London,2020-07-15,4,2763,2020-08-02,012SPEC93592
Gravel,York,2020-10-14,3,1871,2020-10-18,943SPEC24923
Gravel,Birmingham,2020-02-23,3,1204,2020-03-09,429SPEC21323
Road,Birmingham,2020-02-07,4,1104,2020-02-21,942SPEC34353
Mountain,Birmingham,2020-09-27,5,1347,2020-10-05,120SPEC13503
Road,Leeds,2020-12-22,5,3016,2020-12-28,220SPEC12414
Mountain,Birmingham,2020-11-05,4,1838,2020-11-10,012SPEC24033
Gravel,Manchester,2020-11-20,4,2107,2020-11-21,043SPEC12412
Gravel,Manchester,2020-11-18,1,3893,2020-11-25,032SPEC29136
Gravel,York,2020-06-17,5,1729,2020-07-07,021SPEC01454
Mountain,York,2020-06-01,4,2279,2020-06-08,102SPEC84235
Mountain,Manchester,2020-04-18,3,1708,2020-04-28,012SPEC93593
Road,Leeds,2020-04-17,2,1248,2020-04-25,943SPEC24924
Gravel,York,2020-11-05,1,1617,2020-11-07,429SPEC21324
Gravel,Manchester,2020-12-04,2,3174,2020-12-22,942SPEC34354
Gravel,Birmingham,2020-02-16,4,1939,2020-02-26,120SPEC13504
Mountain,York,2020-04-30,1,2407,2020-05-20,220SPEC12415
Gravel,Leeds,2020-05-09,2,1767,2020-05-21,012SPEC24034
Mountain,London,2020-05-25,2,849,2020-06-07,043SPEC12413
Road,Birmingham,2020-09-06,1,2407,2020-09-20,032SPEC29137
Gravel,Leeds,2020-06-27,5,1748,2020-07-11,021SPEC01455
Mountain,Birmingham,2020-03-22,2,3687,2020-03-24,102SPEC84236
Mountain,Leeds,2020-02-08,3,2250,2020-02-27,012SPEC93594
Gravel,Leeds,2020-10-18,4,3458,2020-11-01,943SPEC24925
Road,Birmingham,2020-08-18,2,1026,2020-09-03,429SPEC21325
Mountain,Manchester,2020-09-29,5,1920,2020-10-12,942SPEC34355
Gravel,Leeds,2020-04-05,5,2169,2020-04-09,120SPEC13505
Road,London,2020-04-22,4,1728,2020-04-27,220SPEC12416
Mountain,York,2020-02-20,3,2777,2020-03-02,012SPEC24035
Road,York,2020-04-18,5,1844,2020-04-19,043SPEC12414
Mountain,London,2020-06-25,2,3283,2020-07-03,032SPEC29138
Road,York,2020-01-24,4,2368,2020-01-27,021SPEC01456
Road,York,2020-07-01,1,2713,2020-07-06,102SPEC84237
Road,London,2020-06-08,4,4000,2020-06-28,012SPEC93595
Road,Birmingham,2020-01-26,2,1290,2020-02-06,943SPEC24926
Gravel,Leeds,2020-06-12,5,993,2020-07-01,429SPEC21326
Gravel,Manchester,2020-06-14,5,2065,2020-06-21,942SPEC34356
Road,Birmingham,2020-11-30,3,2955,2020-12-12,120SPEC13506
Road,York,2020-02-21,1,1624,2020-03-04,220SPEC12417
Road,Birmingham,2020-11-20,1,3847,2020-11-23,012SPEC24036
Gravel,Birmingham,2020-07-31,4,3489,2020-08-12,043SPEC12415
Road,London,2020-07-31,1,1709,2020-08-14,032SPEC29139
Road,Birmingham,2020-01-18,2,3814,2020-01-26,021SPEC01457
Road,Birmingham,2020-03-17,1,2834,2020-03-21,102SPEC84238
Gravel,Manchester,2020-01-10,2,3451,2020-01-11,012SPEC93596
Gravel,London,2020-12-03,1,1258,2020-12-20,943SPEC24927
Mountain,York,2020-07-06,5,2333,2020-07-26,429SPEC21327
Mountain,Birmingham,2020-11-21,3,3360,2020-12-02,942SPEC34357
Road,London,2020-03-25,2,3065,2020-04-10,120SPEC13507
Mountain,Leeds,2020-05-07,2,887,2020-05-10,220SPEC12418
Mountain,Birmingham,2020-11-01,5,3012,2020-11-05,012SPEC24037
Mountain,Birmingham,2020-07-18,5,3817,2020-07-28,043SPEC12416
Road,Manchester,2020-01-14,4,807,2020-01-27,032SPEC29140
Road,Leeds,2020-04-16,1,1882,2020-04-30,021SPEC01458
Mountain,London,2020-12-03,3,2080,2020-12-13,102SPEC84239
Road,Leeds,2020-03-26,4,3169,2020-03-29,012SPEC93597
Mountain,York,2020-10-12,4,2011,2020-10-22,943SPEC24928
Road,Manchester,2020-08-21,3,2052,2020-09-10,429SPEC21328
Gravel,Leeds,2020-03-25,4,2431,2020-04-13,942SPEC34358
Road,York,2020-11-18,3,3304,2020-12-01,120SPEC13508
Mountain,Leeds,2020-07-04,3,1002,2020-07-05,220SPEC12419
Mountain,York,2020-11-27,4,1596,2020-11-28,012SPEC24038
Gravel,York,2020-01-07,3,3617,2020-01-15,043SPEC12417
Mountain,Leeds,2020-06-07,4,3150,2020-06-13,032SPEC29141
Mountain,Leeds,2020-09-20,5,2443,2020-10-05,021SPEC01459
Mountain,Manchester,2020-11-21,5,2839,2020-12-10,102SPEC84240
Road,London,2020-09-03,2,1271,2020-09-06,012SPEC93598
Road,London,2020-03-26,3,1343,2020-03-31,943SPEC24929
Mountain,Birmingham,2020-05-13,5,3793,2020-05-14,429SPEC21329
Road,Leeds,2020-09-07,2,3276,2020-09-21,942SPEC34359
Road,Leeds,2020-02-02,1,2407,2020-02-17,120SPEC13509
Road,Birmingham,2020-08-15,3,2450,2020-08-19,220SPEC12420
Gravel,Manchester,2020-04-15,1,2608,2020-05-03,012SPEC24039
Gravel,Leeds,2020-07-05,4,2044,2020-07-06,043SPEC12418
Gravel,London,2020-04-07,2,1145,2020-04-16,032SPEC29142
Gravel,London,2020-03-28,3,3490,2020-04-03,021SPEC01460
Gravel,Birmingham,2020-07-11,2,3309,2020-07-26,102SPEC84241
Gravel,London,2020-01-10,5,1133,2020-01-14,012SPEC93599
Gravel,Birmingham,2020-09-11,3,2419,2020-09-16,943SPEC24930
Mountain,York,2020-12-05,5,2528,2020-12-13,429SPEC21330
Gravel,Leeds,2020-05-20,1,1888,2020-06-07,942SPEC34360
Gravel,Birmingham,2020-07-02,3,3862,2020-07-11,120SPEC13510
Mountain,Birmingham,2020-01-31,5,1097,2020-02-04,220SPEC12421
Gravel,London,2020-12-11,5,1813,2020-12-28,012SPEC24040
Road,Manchester,2020-09-27,2,3343,2020-10-13,043SPEC12419
Gravel,London,2020-05-10,5,2150,2020-05-25,032SPEC29143
Gravel,Manchester,2020-09-28,1,3773,2020-10-04,021SPEC01461
Gravel,London,2020-06-29,1,1871,2020-07-09,102SPEC84242
Mountain,Leeds,2020-01-03,3,2212,2020-01-12,012SPEC93600
Gravel,Birmingham,2020-04-03,3,3482,2020-04-11,943SPEC24931
Mountain,Leeds,2020-02-05,5,2916,2020-02-21,429SPEC21331
Road,London,2020-12-16,5,3213,2020-12-17,942SPEC34361
Road,Leeds,2020-12-23,4,2551,2021-01-02,120SPEC13511
Road,Birmingham,2020-03-04,5,3285,2020-03-18,220SPEC12422
Mountain,London,2020-03-17,4,2673,2020-04-05,012SPEC24041
Road,York,2020-09-24,5,1690,2020-10-11,043SPEC12420
Road,Birmingham,2020-04-28,2,1985,2020-05-04,032SPEC29144
Gravel,Birmingham,2020-11-03,4,1009,2020-11-17,021SPEC01462
Road,Birmingham,2020-12-02,1,920,2020-12-17,102SPEC84243
Road,Leeds,2020-10-08,3,1245,2020-10-24,012SPEC93601
Gravel,Manchester,2020-03-11,5,2427,2020-03-30,943SPEC24932
Gravel,Birmingham,2020-02-16,4,3672,2020-03-01,429SPEC21332
Gravel,London,2020-04-05,4,869,2020-04-14,942SPEC34362
Gravel,York,2020-03-24,5,3652,2020-04-13,120SPEC13512
Gravel,York,2020-08-26,1,3056,2020-08-28,220SPEC12423
Gravel,Leeds,2020-07-14,3,3167,2020-08-03,012SPEC24042
Mountain,Manchester,2020-12-26,3,1442,2020-12-27,043SPEC12421
Road,Manchester,2020-04-09,5,2964,2020-04-16,032SPEC29145
Road,Manchester,2020-05-25,1,1394,2020-06-12,021SPEC01463
Mountain,York,2020-06-29,5,2046,2020-07-13,102SPEC84244
Mountain,Manchester,2020-07-04,5,3207,2020-07-22,012SPEC93602
Road,York,2020-12-14,2,1471,2020-12-28,943SPEC24933
Gravel,Birmingham,2020-04-20,1,1712,2020-04-30,429SPEC21333
Gravel,London,2020-07-06,1,1150,2020-07-21,942SPEC34363
Mountain,York,2020-11-19,4,2954,2020-11-30,120SPEC13513
Mountain,Birmingham,2020-12-07,2,903,2020-12-13,220SPEC12424
Gravel,York,2020-08-07,2,3871,2020-08-22,012SPEC24043
Gravel,Birmingham,2020-08-18,5,1585,2020-09-02,043SPEC12422
Road,Leeds,2020-08-21,1,1773,2020-08-29,032SPEC29146
Mountain,York,2020-11-06,5,3227,2020-11-08,021SPEC01464
Road,Birmingham,2020-05-10,2,2891,2020-05-15,102SPEC84245
Mountain,London,2020-04-12,3,2593,2020-04-27,012SPEC93603
Road,York,2020-07-28,4,1020,2020-07-29,943SPEC24934
Road,Manchester,2020-07-03,1,2039,2020-07-06,429SPEC21334
Road,London,2020-08-06,2,2510,2020-08-21,942SPEC34364
Road,Birmingham,2020-01-07,5,3640,2020-01-18,120SPEC13514
Gravel,Birmingham,2020-07-28,3,3247,2020-08-16,220SPEC12425
Mountain,Birmingham,2020-06-28,1,2744,2020-07-11,012SPEC24044
Mountain,Manchester,2020-09-07,4,1195,2020-09-10,043SPEC12423
Road,Birmingham,2020-04-12,5,1148,2020-04-25,032SPEC29147
Mountain,Manchester,2020-11-15,4,1921,2020-11-19,021SPEC01465
Mountain,London,2020-05-22,4,3331,2020-05-26,102SPEC84246
Mountain,London,2020-05-16,4,2440,2020-05-22,012SPEC93604
Mountain,London,2020-01-24,4,2703,2020-02-01,943SPEC24935
Mountain,London,2020-10-09,1,1944,2020-10-28,429SPEC21335
Road,Birmingham,2020-02-24,4,2553,2020-03-12,942SPEC34365
Mountain,London,2020-04-03,1,2891,2020-04-15,120SPEC13515
Road,Leeds,2020-02-23,4,3589,2020-03-09,220SPEC12426
Road,London,2020-10-20,3,2162,2020-11-07,012SPEC24045
Mountain,Leeds,2020-01-06,1,3654,2020-01-26,043SPEC12424
Mountain,Manchester,2020-07-22,3,3930,2020-08-09,032SPEC29148
Mountain,Manchester,2020-08-21,5,1269,2020-09-07,021SPEC01466
Road,Manchester,2020-02-29,4,3720,2020-03-18,102SPEC84247
Road,Birmingham,2020-05-18,3,948,2020-05-19,012SPEC93605
Gravel,Leeds,2020-12-01,3,3343,2020-12-15,943SPEC24936
Mountain,York,2020-05-09,4,3626,2020-05-18,429SPEC21336
Mountain,Leeds,2020-09-02,3,760,2020-09-20,942SPEC34366
Gravel,Manchester,2020-06-26,1,1375,2020-07-06,120SPEC13516
Mountain,London,2020-11-09,1,2425,2020-11-24,220SPEC12427
Road,London,2020-04-15,4,2430,2020-04-22,012SPEC24046
Road,London,2020-03-03,3,2638,2020-03-17,043SPEC12425
Mountain,Birmingham,2020-02-04,4,3528,2020-02-13,032SPEC29149
Mountain,Leeds,2020-09-17,1,768,2020-09-29,021SPEC01467
Mountain,York,2020-10-20,2,3112,2020-10-31,102SPEC84248
Mountain,Leeds,2020-06-24,5,2820,2020-07-13,03913/012ORRO
Road,Birmingham,2020-04-04,3,2903,2020-04-23,03913/012ORRO
Mountain,Birmingham,2020-10-27,5,2780,2020-11-08,48321/001ORRO
Mountain,Birmingham,2020-09-03,2,3615,2020-09-05,84123/002ORRO
Gravel,Leeds,2020-12-23,4,2379,2021-01-05,12349/014ORRO
Gravel,Leeds,2020-09-20,1,2041,2020-09-24,19312/032ORRO
Mountain,Manchester,2020-06-07,2,2262,2020-06-21,23144/014ORRO
Road,Birmingham,2020-03-12,3,2147,2020-03-28,03913/012ORRO
Gravel,London,2020-09-24,3,2281,2020-09-26,03913/012ORRO
Gravel,Leeds,2020-04-12,1,2345,2020-04-30,48321/001ORRO
Gravel,Manchester,2020-02-09,5,3031,2020-02-27,84123/002ORRO
Gravel,York,2020-12-07,3,2944,2020-12-25,12349/014ORRO
Mountain,London,2020-01-27,1,1849,2020-02-10,19312/032ORRO
Mountain,Birmingham,2020-02-24,1,1591,2020-03-01,23144/014ORRO
